#,año,fecha,tipo_actividad,formato,actividad,cantidad,pais,ciudad,alcance,localidad,lugar,tipodearea,tipodeestablecimiento,personasalcanzadas_cant,edad,poblacion,vulnerabilidad,dotacióninsumos,toallasdesechables,copasmenstruales,toallasreutilizables,calzonesmenstruales,kit_insumos_gestiónmenstrual,qipusmenstruales,expo_duracion,tematicataller,personal,voluntarias,expo_tiempo_elabtaller,org_apoyo,tipodeestablecimiento_cat,edad_init,edad_fin,AgeGroup_edad_init,9-11,12-14,15-24,25-47,48-100
11.0,2022,2022-04-14,taller,virtual,ESCUELITA VIRTUAL 2,1,Bolivia,La Paz,Nacional,El Alto,El Alto,urbana,escuela,7,18-25,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,ciclo en sus 4 fases: sexualidad y hormonas,1,0,480.0,Ninguno,,18,25,3,0,0,7,0,0
12.0,2022,2022-05-04,taller,virtual,ESCUELITA VIRTUAL 3,1,Bolivia,La Paz,Nacional,El Alto,El Alto,urbana,escuela,7,18-25,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,insumos de gestión menstrual,1,0,480.0,Ninguno,,18,25,3,0,0,7,0,0
13.0,2022,2022-05-24,taller,virtual,ESCUELITA VIRTUAL 4,1,Bolivia,La Paz,Nacional,El Alto,El Alto,urbana,escuela,7,18-25,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,vivencia menstrual y la pobreza menstrual.,1,0,480.0,Ninguno,,18,25,3,0,0,7,0,0
14.0,2022,2022-06-22,taller,virtual,ESCUELITA VIRTUAL 5,1,Bolivia,La Paz,Nacional,El Alto,El Alto,urbana,escuela,7,18-25,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,gestión menstrual digna para todas las personas,1,0,480.0,Ninguno,,18,25,3,0,0,7,0,0
15.0,2022,2022-07-02,taller,virtual,ESCUELITA VIRTUAL 6,1,Bolivia,La Paz,Nacional,El Alto,El Alto,urbana,escuela,7,18-25,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,pedagogía menstrual,1,0,480.0,Ninguno,,18,25,3,0,0,7,0,0
16.0,2022,2022-06-28,taller,presencial,RECLUSAS JUVENILES,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Penal Juvenil,urbana,cárcel,10,15-17,jóvenes privadas de libertad,si,no,0,0,0,0,0,0,210.0,preparación talleres presenciales El Alto,1,1,330.0,Ninguno,cárcel,15,17,3,0,0,10,0,0
17.0,2022,2022-06-29,taller,presencial,RECLUSAS JUVENILES,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Penal Juvenil,urbana,cárcel,10,15-17,jóvenes privadas de libertad,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Aptapi Jopueti,cárcel,15,17,3,0,0,10,0,0
18.0,2022,2022-08-26,taller,presencial,MAPAKI SUCRE,1,Bolivia,Sucre,Nacional,Sucre,Instalaciones Fundación Munasim Kullakita,periurbana,ONG de chicas en situación de calle,35,10-16,niñas trabajadoras de calle,si,si,94,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,3,330.0,Aptapi Jopueti,ong,10,16,1,35,0,0,0,0
19.0,2022,2022-11-05,taller,presencial,CERPI SUCRE,1,Bolivia,Sucre,Nacional,Sucre,Instalaciones CERPI,urbana,Escuelita móvil de barrios periurbanos,20,11-16,adolescentes y jóvenes trabajadoras de calle,si,si,0,0,20,0,0,0,210.0,vivencia menstrual-ovulatoria,1,2,330.0,Micros para Avanzar,escuela,11,16,2,0,20,0,0,0
20.0,2022,2022-11-06,taller,presencial,CERPI SUCRE,1,Bolivia,Sucre,Nacional,Sucre,Instalaciones CERPI Escuelita Móvil,periurbana,Escuelita móvil de barrios periurbanos,20,10-14,niñas y adolescentes periurbanas,si,si,0,0,20,0,0,0,0.0,elaboración de toallas,2,1,330.0,Micros para Avanzar,escuela,10,14,1,20,0,0,0,0
21.0,2022,2022-08-14,taller,presencial,ETTA Projects,1,Bolivia,Santa Cruz de la Sierra,Nacional,Buena Vista,Instalaciones Etta Project,rural,ONG adolescencia y juventudes acceso a saliud y ejercicio derechos,25,14-17,adolescentes y jóvener rurales,si,si,0,0,0,0,25,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Etta Projects,ong,14,17,3,0,0,25,0,0
22.0,2022,2022-02-10,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,El Alto,diversas ciudades,urbana,voluntariado,10,18-35,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,6,330.0,Aptapi Jopueti,,18,35,3,0,0,10,0,0
23.0,2022,2022-03-03,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,N/A,diversas ciudades,urbana,voluntariado,10,18-35,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Poblaciones Vulnerables,1,5,480.0,Aptapi Jopueti,,18,35,3,0,0,10,0,0
24.0,2022,2022-03-24,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,El Alto,diversas ciudades,urbana,voluntariado,10,18-35,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Arte Menstrual,1,5,480.0,Aptapi Jopueti,,18,35,3,0,0,10,0,0
25.0,2022,2022-04-14,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,N/A,diversas ciudades,urbana,voluntariado,10,18-35,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,"Pubertad, adolescencia y menarquía",1,4,480.0,Aptapi Jopueti,,18,35,3,0,0,10,0,0
26.0,2022,2022-05-04,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,N/A,diversas ciudades,urbana,voluntariado,8,18-35,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Pobreza menstrual,1,5,480.0,Aptapi Jopueti,,18,35,3,0,0,8,0,0
27.0,2022,2022-05-24,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,El Alto,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Ciclo menstrual,1,5,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
28.0,2022,2022-06-10,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,El Alto,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Políticas Públicas,1,4,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
29.0,2022,2022-06-22,taller,virtual,Voluntarias Yawar,1,Bolivia,La Paz,Nacional,El Alto,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Gestión y pedagogía menstrual,1,4,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
30.0,2022,2022-09-24,taller,virtual,Voluntarias Yawar,1,Bolivia,N/A,Nacional,N/A,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Bienvenida a Yawar,1,10,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
31.0,2022,2022-09-28,taller,virtual,Voluntarias Yawar,1,Bolivia,N/A,Nacional,N/A,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,El ciclo menstrual,1,10,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
32.0,2022,2022-10-05,taller,virtual,Voluntarias Yawar,1,Bolivia,N/A,Nacional,N/A,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Activismo menstrual,1,10,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
33.0,2022,2022-10-12,taller,virtual,Voluntarias Yawar,1,Bolivia,N/A,Internacional,N/A,diversas ciudades,urbana,voluntariado,8,18-36,mujeres voluntarias,no,no,0,0,0,0,0,0,210.0,Justicia Menstrual,1,10,480.0,Aptapi Jopueti,,18,36,3,0,0,8,0,0
34.0,2023,2022-02-24,taller,presencial,Viaje cultural de jóvenas extranjeras en Bolivia,1,Bolivia,Cochabamba,Internacional,Colcapirhua,Samay Wasi,periurbana,Viaje cultural de jóvenas extranjeras en Bolivia,20,16-18,adolescentes extranjeras,no,no,0,0,0,0,0,0,420.0,vivencia menstrual-ovulatoria y trabajo del Proyecto Yawar en Bolivia,1,0,480.0,Dragones,campo,16,18,3,0,0,20,0,0
35.0,2023,2023-03-01,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,28,10-12,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,10,12,1,28,0,0,0,0
36.0,2023,2023-03-06,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,18,13-14,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,13,14,2,0,18,0,0,0
37.0,2023,2023-03-09,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,23,15-17,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,15,17,3,0,0,23,0,0
38.0,2023,2023-03-11,taller,presencial,MUJERES DIVERSAS LP,1,Bolivia,La Paz,Nacional,La Paz,UMSA,urbana,Asociación,30,18-50,mujeres con discapacidad,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,3,330.0,Aptapi Jopueti,universidad,18,50,3,0,0,30,0,0
39.0,2023,2023-03-30,taller,virtual,Rapsistencia,1,Bolivia,N/A,Nacional,N/A,diversas ciudades,urbana,Voluntariado y asociación,15,20-28,mujeres artistas,no,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Aptapi Jopueti,,20,28,3,0,0,15,0,0
40.0,2023,2023-04-19,taller,virtual,Mujeres Montaña,1,Bolivia,N/A,Nacional,N/A,diversas ciudades,urbana,Voluntariado y asociación,15,20-40,mujeres rurales escaladoras,no,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Aptapi Jopueti,,20,40,3,0,0,15,0,0
41.0,2023,2023-03-26,taller,presencial,ETTA -Costura Toallas,1,Bolivia,Buena Vista,Nacional,Buena Vista,Instalaciones Etta,rural,ONG adolescencia y juventudes acceso a saliud y ejercicio derechos,26,11-16,adolescentes y jóvener rurales,si,si,0,0,26,0,26,0,210.0,vivencia menstrual-ovulatoria,1,1,330.0,Etta Projects,ong,11,16,2,0,26,0,0,0
42.0,2023,2023-05-26,taller,presencial,CIES,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Instalaciones CIES,urbana,ONG por la salud sexual y reproductiva,20,13-17,voluntarias adolescentes,no,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,1,330.0,Ninguno,ong,13,17,2,0,20,0,0,0
43.0,2023,2023-04-20,taller,presencial,ETTA ACS,1,Bolivia,Santa Cruz de la Sierra,Nacional,Alonso Gutierrez,Centro de Salud Alonso Gutierrez,rural,ONG adolescencia y juventudes acceso a saliud y ejercicio derechos,27,24-45,mujeres rurales,si,si,0,0,0,0,27,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Aptapi Jopueti,ong,24,45,4,0,0,0,27,0
44.0,2023,2023-06-17,taller,presencial,UE,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,32,11-13,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasaye,fundación,11,13,2,0,32,0,0,0
45.0,2023,2023-06-24,taller,presencial,MAMAS,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,10,25-50,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasaye,fundación,25,50,4,0,0,0,10,0
46.0,2023,2023-09-13,taller,presencial,COSTURA TOALLAS,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,10,25-50,mujeres rurales,si,si,0,0,10,0,0,0,210.0,vivencia menstrual-ovulatoria,1,1,330.0,Proyecto Social Jasaye y Aptapi Jopueti,fundación,25,50,4,0,0,0,10,0
47.0,2023,2023-06-20,taller,presencial,COLE,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,11,13-17,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasaye,fundación,13,17,2,0,11,0,0,0
48.0,2023,2023-11-02,taller,presencial,PALMASOLA,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Centro de Rehabilitación Palmasola,urbana,cárcel,25,20-40,mujeres reclusas,si,si,0,8,0,0,15,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Aptapi Jopueti,cárcel,20,40,3,0,0,25,0,0
49.0,2023,2023-01-11,taller,presencial,CIES,1,Bolivia,La Paz,Nacional,El Alto,Rio Selva,urbana,ONG por la salud sexual y reproductiva,20,13-17,voluntarias adolescentes,no,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,1,330.0,CIES,ong,13,17,2,0,20,0,0,0
,2024,2024-04-13,taller,presencial,Taller,1,Bolivia,La Paz,Nacional,El Alto,Hogar de acogida,urbana,Lugar de acogida de víctimas de violencia sexual,26,12-17,adolescentes,si,no,0,0,0,0,0,26,210.0,Ciclicidad Menstrual-Ovulatoria y registro del ciclo menstrual,2,0,400.0,Munasim Killakita,lugar de acogida de víctimas de violencia sexual,12,17,2,0,26,0,0,0
50.0,2023,2023-08-08,difusion,presencial,Feria Internacional del Libro 2023,1,Bolivia,La Paz,Nacional,La Paz,N/A,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,2,0.0,Ninguno,,N/A,,,0,0,0,0,0
51.0,2023,2023-09-28,difusion,presencial,Feria Bulliciosa de la Campaña 28 de Septiembre,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Casa Carmen,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,1,0.0,Ninguno,,N/A,,,0,0,0,0,0
52.0,2021,2021-10-01,artistica y cultural,presencial,Primer Videopitch para campaña de recaudación de fondos,1,Bolivia,N/A,Internacional,N/A,N/A,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
53.0,2021,2021-02-06,artistica y cultural,presencial,Un evento de Zumba y conversatorio para recaudar fondos,1,Australia,Melbourne,Internacional,N/A,"Australia, Melbourne",urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
54.0,2021,2021-03-26,artistica y cultural,presencial,"Yawar Twerk, taller de twerk para recaudar fondos",1,Bolivia,Sucre,Nacional,Sucre,Micelio,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
55.0,2021,2021-02-25,artistica y cultural,presencial,Concierto Hip Hoppas y furiosas para recaudación de fondos,1,Bolivia,La Paz,Nacional,La Paz,N/A,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
56.0,2022,2022-01-10,artistica y cultural,presencial,"Elaboración de un mural menstrual, de 30 metros en el CERPI",1,Bolivia,Sucre,Nacional,Sucre,CERPI,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
57.0,2022,2022-01-11,artistica y cultural,presencial,Cartilla educativa con ilustraciones,1,Bolivia,N/A,Nacional,N/A,N/A,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
58.0,2023,2023-05-28,artistica y cultural,presencial,Un hip hop menstrual con su videoclip en el mural,1,Bolivia,Sucre,Nacional,Sucre,CERPI y Mercado Central,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
59.0,2023,2024-05-23,artistica y cultural,presencial,"Performance artística de danza y poesía, Sucre",1,Bolivia,Sucre,Nacional,Sucre,Mercado central,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
60.0,2023,2024-05-23,conversatorio,presencial,Conversatorio UAGRAM en conmemoración del día Internacional de la Salud Menstrual,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Universidad Gabriel René Moreno,urbana,Educativo,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,universidad,N/A,,,0,0,0,0,0
61.0,2022,2022-05-28,conversatorio,virtual,"Conversatorio: 
LA DESIGUALDAD MENSTRUAL Y EL TRANSITO HACIA UNA VIVENCIA MENSTRUAL DIGNA, experiencias menstruales en India, Guatemala y Bolivia",1,Estados Unidos Mexicanos,Ciudad de México,Internacional,N/A,México,urbana,Alianza internacional,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
62.0,2022,2022-06-14,conversatorio,virtual,Conversatorio UNIFRANZ: Viviendo la Menstruación con dignidad,1,Bolivia,La Paz,Nacional,El Alto,UNIFRANZ,,Educativo,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
63.0,2023,2023-05-18,artistica y cultural,presencial,Participación en la Noche de Museos,1,Bolivia,Santa Cruz de la Sierra,Nacional,Santa Cruz de la Sierra,Casa Carmencita,urbana,N/A,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
64.0,2023,2024-05-23,campaña,virtual,Campaña de descuentos por Mayo Menstrual,1,Bolivia,N/A,Nacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
65.0,2022,2022-03-21,campaña,virtual,Alianza calzones menstruales con Aura,1,Bolivia,N/A,Nacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
66.0,2021,2021-01-12,campaña,virtual,Campaña navideña de descuentos en alianza con Sarita Eco y Yanawara NYC,0,Estados Unidos,N/A,Internacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
67.0,2021,2021-01-12,difusion redes sociales,virtual,artes,46,Bolivia,N/A,Nacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
68.0,2021,2021-11-11,difusion redes sociales,virtual,Videopitch 1,1,Bolivia,La Paz,Internacional,El Alto,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
69.0,2022,2022-10-06,difusion redes sociales,virtual,Videopitch 2,1,Bolivia,Sucre,Nacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
70.0,2022,2022-11-30,difusion redes sociales,virtual,Video de mural menstrual,1,Bolivia,Sucre,Nacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,360.0,Micros para Avanzar,,N/A,,,0,0,0,0,0
71.0,2022,2022-05-28,difusion redes sociales,virtual,Video performance artística,1,Bolivia,Sucre,Nacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,10.0,N/A,4,2,300.0,Fondo Apthapi,,N/A,,,0,0,0,0,0
72.0,2022,2022-05-28,difusion redes sociales,virtual,reels,36,Bolivia,N/A,Internacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
73.0,2022,2022-05-28,difusion redes sociales,virtual,posts en instagram,116,Bolivia,N/A,Internacional,N/A,N/A,,,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
74.0,2022,2022-03-25,medios de comunicacion,virtual,Verdad con tinta 2,1,Bolivia,N/A,Nacional,N/A,N/A,,prensa escrita,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
75.0,2021,2021-11-16,medios de comunicacion,virtual,Verdad con tinta 1,1,Bolivia,N/A,Nacional,N/A,N/A,,prensa escrita,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
76.0,2022,2022-04-28,medios de comunicacion,virtual,Muy Waso,1,Bolivia,N/A,Nacional,N/A,N/A,,prensa escrita,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,,N/A,,,0,0,0,0,0
77.0,2022,2022-08-06,medios de comunicacion,presencial,Correo del Sur,1,Bolivia,N/A,Nacional,N/A,N/A,,prensa escrita,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,prensa escrita,N/A,,,0,0,0,0,0
78.0,2022,2022-06-16,medios de comunicacion,presencial,Revista Ekos,1,Bolivia,N/A,Nacional,N/A,N/A,,prensa escrita,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,prensa escrita,N/A,,,0,0,0,0,0
79.0,2023,2023-03-22,medios de comunicacion,presencial,Agencia EFE,1,Bolivia,N/A,Internacional,N/A,N/A,,prensa escrita,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,prensa escrita,N/A,,,0,0,0,0,0
80.0,2023,2023-09-16,medios de comunicacion,presencial,Nacer Mujer TV,1,Bolivia,La Paz,Nacional,N/A,N/A,,medio audiovisual,0,N/A,poblacion_general,N/A,N/A,0,0,0,0,0,0,0.0,N/A,1,0,0.0,Ninguno,canal de televisión,N/A,,,0,0,0,0,0
